2025-10-09 08:06:28,329 - WARNING - Failed to fetch port stats for switch 18, using defaults
2025-10-09 08:06:28,393 - WARNING - Failed to fetch port stats for switch 41, using defaults
2025-10-09 08:06:28,416 - WARNING - Failed to fetch port stats for switch 12, using defaults
2025-10-09 08:06:28,454 - WARNING - Failed to fetch port stats for switch 46, using defaults
2025-10-09 08:06:28,534 - WARNING - Failed to fetch port stats for switch 4, using defaults
2025-10-09 08:06:28,557 - WARNING - Failed to fetch port stats for switch 28, using defaults
2025-10-09 08:06:28,578 - WARNING - Failed to fetch port stats for switch 38, using defaults
2025-10-09 08:06:28,593 - WARNING - Failed to fetch port stats for switch 45, using defaults
2025-10-09 08:06:28,632 - WARNING - Failed to fetch port stats for switch 27, using defaults
2025-10-09 08:06:28,663 - WARNING - Failed to fetch port stats for switch 19, using defaults
2025-10-09 08:06:28,698 - WARNING - Failed to fetch port stats for switch 5, using defaults
2025-10-09 08:06:28,719 - WARNING - Failed to fetch port stats for switch 47, using defaults
2025-10-09 08:06:28,789 - WARNING - Failed to fetch port stats for switch 24, using defaults
2025-10-09 08:06:28,804 - WARNING - Failed to fetch port stats for switch 25, using defaults
2025-10-09 08:06:28,885 - WARNING - Failed to fetch port stats for switch 43, using defaults
2025-10-09 08:06:28,910 - WARNING - Failed to fetch port stats for switch 40, using defaults
2025-10-09 08:06:28,946 - WARNING - Failed to fetch port stats for switch 15, using defaults
2025-10-09 08:06:28,970 - WARNING - Failed to fetch port stats for switch 34, using defaults
2025-10-09 08:06:29,038 - WARNING - Failed to fetch port stats for switch 6, using defaults
2025-10-09 08:06:29,052 - WARNING - Failed to fetch port stats for switch 44, using defaults
2025-10-09 08:06:29,073 - WARNING - Failed to fetch port stats for switch 30, using defaults
2025-10-09 08:06:29,101 - WARNING - Failed to fetch port stats for switch 8, using defaults
2025-10-09 08:06:29,127 - WARNING - Failed to fetch port stats for switch 21, using defaults
2025-10-09 08:06:29,175 - WARNING - Failed to fetch port stats for switch 13, using defaults
2025-10-09 08:06:29,197 - WARNING - Failed to fetch port stats for switch 32, using defaults
2025-10-09 08:06:29,213 - WARNING - Failed to fetch port stats for switch 29, using defaults
2025-10-09 08:06:29,273 - WARNING - Failed to fetch port stats for switch 33, using defaults
2025-10-09 08:06:29,313 - WARNING - Failed to fetch port stats for switch 14, using defaults
2025-10-09 08:06:29,345 - WARNING - Failed to fetch port stats for switch 7, using defaults
2025-10-09 08:06:29,357 - WARNING - Failed to fetch port stats for switch 244866307128911, using defaults
2025-10-09 08:06:29,374 - WARNING - Failed to fetch port stats for switch 35, using defaults
2025-10-09 08:06:29,408 - WARNING - Failed to fetch port stats for switch 22, using defaults
2025-10-09 08:06:29,429 - WARNING - Failed to fetch port stats for switch 42, using defaults
2025-10-09 08:06:29,444 - WARNING - Failed to fetch port stats for switch 9, using defaults
2025-10-09 08:06:29,454 - WARNING - Failed to fetch port stats for switch 3, using defaults
2025-10-09 08:06:29,472 - WARNING - Failed to fetch port stats for switch 10, using defaults
2025-10-09 08:06:29,486 - WARNING - Failed to fetch port stats for switch 16, using defaults
2025-10-09 08:06:29,757 - INFO - Graph updated: 96 nodes, 112 edges
2025-10-09 08:06:29,758 - ERROR - Failed to generate initial network features: invalid literal for int() with base 10: '000000000000002e'
2025-10-09 08:08:32,843 - INFO - Fetched switches: 48 switches
2025-10-09 08:08:32,845 - INFO - Fetched links: 112 links
2025-10-09 08:08:32,846 - INFO - Fetched hosts: 48 hosts
2025-10-09 08:08:32,849 - WARNING - Failed to fetch port stats for switch 26, using defaults
2025-10-09 08:08:32,867 - WARNING - Failed to fetch port stats for switch 31, using defaults
2025-10-09 08:08:32,912 - WARNING - Failed to fetch port stats for switch 11, using defaults
2025-10-09 08:08:32,925 - WARNING - Failed to fetch port stats for switch 20, using defaults
2025-10-09 08:08:32,942 - WARNING - Failed to fetch port stats for switch 37, using defaults
2025-10-09 08:08:32,956 - WARNING - Failed to fetch port stats for switch 36, using defaults
2025-10-09 08:08:32,974 - WARNING - Failed to fetch port stats for switch 23, using defaults
2025-10-09 08:08:32,988 - WARNING - Failed to fetch port stats for switch 2, using defaults
2025-10-09 08:08:33,036 - WARNING - Failed to fetch port stats for switch 17, using defaults
2025-10-09 08:08:33,103 - WARNING - Failed to fetch port stats for switch 1, using defaults
2025-10-09 08:08:33,125 - WARNING - Failed to fetch port stats for switch 39, using defaults
